EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-146297670#1,1595639456,1595639480,,2,highway.service
-146297670#2,1595639458,1595639456,,2,highway.service
-146297670#3,1595639443,1595639458,,2,highway.service
-146297670#4,1611146933,1595639443,,2,highway.service
-146669439#0,1515317063,590841473,James Desana Drive,4,highway.residential
-146669439#1,590841481,1515317063,James Desana Drive,4,highway.residential
-146669445,1599403143,1599403171,,2,highway.service
-146669446,1599403201,1599403587,,2,highway.service
-146669448,62738192,1315585594,,2,highway.service
-146669452#0,1599403587,1599403275,,2,highway.service
-146669452#1,1599403201,1599403587,,2,highway.service
-146669452#2,1599403171,1599403201,,2,highway.service
-146669452#3,1599403143,1599403171,,2,highway.service
-146669452#4,1599403124,1599403143,,2,highway.service
-146669452#5,1315585594,1599403124,,2,highway.service
-146669455,1599403345,1599403197,,2,highway.service
-146669456,1599403503,1599403222,,2,highway.service
-146669459,1599403326,1599403124,,2,highway.service
-146673296#0,3738244379,62662438,Maple Street,4,highway.residential
-146673296#1,3738244378,3738244379,Maple Street,4,highway.residential
-146673296#2,62662440,3738244378,Maple Street,4,highway.residential
-146673296#3,62662445,62662440,Maple Street,4,highway.residential
-146673305,1599440507,1599440500,,2,highway.service
-146681923,1279569195,1279569200,,2,highway.service
-146681927#0,1595619272,62855779,Sycamore Street,4,highway.residential
-146681927#1,3738244373,1595619272,Sycamore Street,4,highway.residential
-146681927#2,62855782,3738244373,Sycamore Street,4,highway.residential
-146681927#3,62855784,62855782,Sycamore Street,4,highway.residential
-146681932,1279569297,1279569195,,2,highway.service
-146681955#0,62646920,1599461843,,2,highway.service
-146681955#1,62917592,62646920,,2,highway.service
-146681955#2,62776963,62917592,,2,highway.service
-146681955#3,1599465319,62776963,,2,highway.service
-146681955#4,1599465313,1599465319,,2,highway.service
-146681955#5,1599461875,1599465313,,2,highway.service
-146681984,1599461916,1599461875,,2,highway.service
-146681996,1599461919,1599461874,,2,highway.service
-146684962,1599465313,1599465284,,2,highway.service
-146687812#0,3738244380,3248125802,,2,highway.service
-146687812#1,3738244381,3738244380,,2,highway.service
-146687812#2,62870389,3738244381,,2,highway.service
-146687812#3,1599470676,62870389,,2,highway.service
-146687813#0,1599470676,1599470663,,2,highway.service
-146687813#1,1599470668,1599470676,,2,highway.service
-147089061#0,1602805987,62935554,,2,highway.service
-147089061#1,1602806002,1602805987,,2,highway.service
-147089061#2,cluster_1602805975_1602839399,1602806002,,2,highway.service
-147095722#0,1610892487,cluster_1602839343_1602839381,23rd Street,4,highway.residential
-147095722#1,62640266,1610892487,23rd Street,4,highway.residential
-147095722#2,1610892468,62640266,23rd Street,4,highway.residential
-147095722#3,1610892571,1610892468,23rd Street,4,highway.residential
-147095722#4,62847765,1610892571,23rd Street,4,highway.residential
-147095722#5,1610952455,62847765,23rd Street,4,highway.residential
-147095722#6,1610952158,1610952455,23rd Street,4,highway.residential
-147095722#7,62757573,1610952158,23rd Street,4,highway.residential
-147095722#8,62881449,62757573,23rd Street,4,highway.residential
-147095722#9,cluster_62881450_62881500,62881449,23rd Street,4,highway.residential
-147095726#0,1610892490,cluster_1602805975_1602839399,,2,highway.service
-147095726#1,1602839366,1610892490,,2,highway.service
-147095726#2,1610892400,1602839366,,2,highway.service
-147095726#3,cluster_1610892530_2387844909,1610892400,,2,highway.service
-147095726#4,cluster_1610892445_1610892500_1610892536,cluster_1610892530_2387844909,,2,highway.service
-147095726#6,cluster_1610892420_1610892471,cluster_1610892445_1610892500_1610892536,,2,highway.service
-147095726#7,cluster_1610952406_4960995623_62847767,cluster_1610892420_1610892471,,2,highway.service
-147971085,1610892490,1610892487,,2,highway.service
-147971088,1610892493,cluster_1610892416_1610952228,,2,highway.service
-147971091#0,1610892563,1610892493,,2,highway.service
-147971091#1,cluster_1610892445_1610892500_1610892536,1610892563,,2,highway.service
-147971093,1610892456,cluster_1610892530_2387844909,,2,highway.service
-147971101#0,cluster_1610892445_1610892500_1610892536,cluster_1610892420_1610892471,,2,highway.service
-147971101#1,1610892583,cluster_1610892445_1610892500_1610892536,,2,highway.service
-147971101#2,1610892580,1610892583,,2,highway.service
-147971105#0,2558891165,2558891192,,2,highway.service
-147971105#1,2558891167,2558891165,,2,highway.service
-147971105#10,2558891175,2558891193,,2,highway.service
-147971105#11,2558891170,2558891175,,2,highway.service
-147971105#12,2558891171,2558891170,,2,highway.service
-147971105#13,2558891189,2558891171,,2,highway.service
-147971105#14,1610892571,2558891189,,2,highway.service
-147971105#15,cluster_1610892445_1610892500_1610892536,1610892571,,2,highway.service
-147971105#2,2558891191,2558891167,,2,highway.service
-147971105#3,2558891181,2558891191,,2,highway.service
-147971105#4,2558891162,2558891181,,2,highway.service
-147971105#5,2558891173,2558891162,,2,highway.service
-147971105#6,2558891182,2558891173,,2,highway.service
-147971105#7,2558891187,2558891182,,2,highway.service
-147971105#8,2558891168,2558891187,,2,highway.service
-147971105#9,2558891193,2558891168,,2,highway.service
-147971106,1610892400,1610892468,,2,highway.service
-147980845,1610952422,1610952301,,2,highway.service
-147980853,1610952311,cluster_1610952406_4960995623_62847767,,2,highway.service
-147980862#0,1610952427,1610952240,,2,highway.service
-147980862#1,1610952238,1610952427,,2,highway.service
-147980862#2,1610952295,1610952238,,2,highway.service
-147980878#0,1610952422,1610952158,,2,highway.service
-147980878#1,1610952166,1610952422,,2,highway.service
-147980878#2,1610952403,1610952166,,2,highway.service
-147980878#3,62960545,1610952403,,2,highway.service
-147980878#4,1610952397,62960545,,2,highway.service
-147980878#5,1610952151,1610952397,,2,highway.service
-147980907#0,1610952394,1610952311,,2,highway.service
-147980907#1,1610952427,1610952394,,2,highway.service
-147980923,1610952403,1610952377,,2,highway.service
-147980924,1610952351,1610952371,,2,highway.service
-147980925,1610952377,1610952282,,2,highway.service
-147980926#0,1610952394,1610952238,,2,highway.service
-147980926#1,1610952240,1610952394,,2,highway.service
-147980941,1610952240,1610952350,,2,highway.service
-147980942,1610952455,1610952295,,2,highway.service
-147988669#0,1611003035,1611003045,,2,highway.service
-147988669#1,1611003050,1611003035,,2,highway.service
-147988675,1611003035,1611003050,,2,highway.service
-147993895#0,1611051058,1611051022,,2,highway.service
-147993895#1,1611050997,1611051058,,2,highway.service
-147993899#0,1611050997,1611051033,,2,highway.service
-147993899#1,1611050984,1611050997,,2,highway.service
-147993907#0,1611051058,1611051053,,2,highway.service
-147993907#1,1611050995,1611051058,,2,highway.service
-148001564#0,1611100233,1611100134,,2,highway.service
-148001564#1,1611100120,1611100233,,2,highway.service
-148001564#2,cluster_1611100265_2419006626,1611100120,,2,highway.service
-148001565#0,1611100155,1611100217,,2,highway.service
