JUNCT_ID,X,Y,TYPE
1793512574,3939.00,11405.84,right_before_left
1793512575,3951.09,11452.73,priority
1793512576,3975.38,11452.41,priority
1793512577,3966.87,11405.52,right_before_left
1793536909,3750.06,11431.74,right_before_left
1793536926,3809.33,11452.64,priority
1793536927,3751.52,11453.15,priority
1793536932,3769.24,11452.99,priority
1793536937,3795.15,11452.76,priority
1793536941,3749.72,11409.43,right_before_left
1793543534,3693.46,11453.65,priority
1793558238,3255.39,11501.29,priority
1794392618,6755.33,13016.02,priority
1794392622,6684.03,12956.58,priority
1794392626,6647.48,12904.22,right_before_left
1794392627,6650.82,12886.43,priority
1794392630,6689.56,12912.30,right_before_left
1794392634,6708.63,12894.69,right_before_left
1794392635,6644.64,12919.38,right_before_left
1794392640,6755.36,12902.56,right_before_left
1794392645,6738.71,13016.32,right_before_left
1794392646,6727.18,12897.81,right_before_left
1794392647,6686.84,12927.38,right_before_left
1794392651,6755.40,12860.17,priority
1794392653,6617.08,12914.15,priority
1794392654,6755.34,12977.52,right_before_left
1794392655,6639.52,12947.86,priority
1794392657,6685.29,12943.51,right_before_left
1794392658,6695.60,12896.13,right_before_left
1794392661,6641.85,12934.91,right_before_left
1794763830,5036.03,14082.13,priority
1794763831,5039.36,14074.10,priority
1821439261,3756.15,10386.72,right_before_left
1821439304,3717.20,10363.35,right_before_left
1978960551,5905.08,13022.23,rail_crossing
1978960552,5929.35,13022.01,rail_crossing
1978960553,5950.75,13021.81,rail_crossing
1978960554,5969.66,13021.63,rail_crossing
1978960555,5978.20,13021.56,right_before_left
1978960556,6633.97,13020.46,priority
1978960557,6685.13,13020.65,priority
1978960562,6638.49,13119.50,right_before_left
1978960563,6831.83,13116.74,dead_end
1978960564,6808.18,13118.18,dead_end
1978960597,6831.23,13286.32,priority
1978960607,6785.44,13314.71,dead_end
1978960611,6809.57,13327.49,priority
1978960612,6826.89,13327.20,priority
1978960657,6829.35,13408.60,priority
1978960703,6776.60,13589.48,dead_end
1978960705,6063.73,13628.09,rail_crossing
1978960707,6088.84,13627.82,rail_crossing
1978960708,6108.65,13627.61,rail_crossing
1978960709,6127.95,13627.40,rail_crossing
1978960730,6820.57,13660.20,priority
1978960736,6839.12,13674.99,priority
1978960737,6685.57,13679.04,priority
1978960741,6819.08,13684.93,priority
1978960750,6684.28,13702.59,priority
1978960755,6686.64,13711.40,priority
1978960771,6681.77,13730.74,priority
1978960772,6822.75,13727.66,priority
1978960803,6696.59,13759.41,priority
1978960804,6726.92,13758.76,dead_end
1978960805,6733.11,13758.76,dead_end
1978960810,6823.92,13763.10,priority
1978960812,6807.61,13764.05,priority
1978960833,6856.73,13787.26,dead_end
1978960839,6847.88,13793.99,dead_end
1978960842,6825.05,13797.16,priority
1978960843,6821.59,13799.63,priority
1978960903,6827.95,13879.17,priority
1978960933,6828.80,13905.78,priority
1978960944,6838.07,13916.23,dead_end
1978960948,6709.35,13922.97,priority
1978960984,6763.19,13952.80,priority
1978960987,6733.58,13955.31,priority
1978960990,6766.03,13956.94,priority
1978960991,6784.05,13957.72,priority
1978961029,6831.53,13991.58,dead_end
1978961030,6745.51,13994.38,priority
1978961031,6730.36,13995.23,priority
1978961036,6725.97,14001.92,priority
